 Óbitos por Causas Externas - Brasil
Óbitos p/Ocorrênc por Município
Grande Grupo CID10: X85-Y09 Agressões, Y35-Y36 Intervenções legais e operações de guerra
Período:2020
"Município";"Óbitos_p/Ocorrênc"
"110001 Alta Floresta D'Oeste";4
"110037 Alto Alegre dos Parecis";1
"110040 Alto Paraíso";3
"110034 Alvorada D'Oeste";2
"110002 Ariquemes";27
"110045 Buritis";6
"110003 Cabixi";1
"110060 Cacaulândia";1
"110004 Cacoal";16
"110070 Campo Novo de Rondônia";2
"110080 Candeias do Jamari";8
"110005 Cerejeiras";5
"110092 Chupinguaia";3
"110006 Colorado do Oeste";4
"110007 Corumbiara";1
"110008 Costa Marques";3
"110094 Cujubim";13
"110009 Espigão D'Oeste";6
"110100 Governador Jorge Teixeira";1
"110010 Guajará-Mirim";2
"110011 Jaru";11
"110012 Ji-Paraná";25
"110013 Machadinho D'Oeste";6
"110120 Ministro Andreazza";1
"110130 Mirante da Serra";3
"110140 Monte Negro";9
"110033 Nova Mamoré";5
"110143 Nova União";3
"110050 Novo Horizonte do Oeste";1
"110015 Ouro Preto do Oeste";9
"110145 Parecis";1
"110018 Pimenta Bueno";10
"110020 Porto Velho";171
"110025 Presidente Médici";3
"110026 Rio Crespo";2
"110028 Rolim de Moura";19
"110029 Santa Luzia D'Oeste";1
"110148 São Felipe D'Oeste";1
"110149 São Francisco do Guaporé";2
"110032 São Miguel do Guaporé";3
"110150 Seringueiras";3
"110155 Teixeirópolis";1
"110160 Theobroma";3
"110170 Urupá";2
"110175 Vale do Anari";3
"110180 Vale do Paraíso";1
"110030 Vilhena";41
"120001 Acrelândia";1
"120010 Brasiléia";6
"120013 Bujari";4
"120017 Capixaba";2
"120020 Cruzeiro do Sul";24
"120025 Epitaciolândia";6
"120030 Feijó";11
"120033 Mâncio Lima";3
"120034 Manoel Urbano";5
"120038 Plácido de Castro";1
"120080 Porto Acre";6
"120040 Rio Branco";208
"120042 Rodrigues Alves";2
"120043 Santa Rosa do Purus";1
"120050 Sena Madureira";4
"120045 Senador Guiomard";3
"120060 Tarauacá";12
"120070 Xapuri";1
"130002 Alvarães";1
"130008 Anamã";1
"130010 Anori";1
"130014 Apuí";8
"130030 Autazes";9
"130040 Barcelos";4
"130050 Barreirinha";4
"130060 Benjamin Constant";7
"130063 Beruri";3
"130068 Boa Vista do Ramos";6
"130070 Boca do Acre";15
"130080 Borba";8
"130083 Caapiranga";2
"130090 Canutama";3
"130100 Carauari";5
"130110 Careiro";7
"130115 Careiro da Várzea";5
"130120 Coari";67
"130130 Codajás";2
"130140 Eirunepé";13
"130150 Envira";7
"130160 Fonte Boa";7
"130165 Guajará";1
"130170 Humaitá";15
"130180 Ipixuna";1
"130185 Iranduba";11
"130190 Itacoatiara";27
"130195 Itamarati";2
"130200 Itapiranga";1
