UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
RO;11;110001;Alta Floresta D'Oeste;22516.0
RO;11;110002;Ariquemes;111148.0
RO;11;110003;Cabixi;5067.0
RO;11;110004;Cacoal;86416.0
RO;11;110005;Cerejeiras;16088.0
RO;11;110006;Colorado do Oeste;15213.0
RO;11;110007;Corumbiara;7052.0
RO;11;110008;Costa Marques;19255.0
RO;11;110009;Espigão D'Oeste;33009.0
RO;11;110010;Guajará-Mirim;46930.0
RO;11;110011;Jaru;51469.0
RO;11;110012;Ji-Paraná;131026.0
RO;11;110013;Machadinho D'Oeste;41724.0
RO;11;110014;Nova Brasilândia D'Oeste;20504.0
RO;11;110015;Ouro Preto do Oeste;35445.0
RO;11;110018;Pimenta Bueno;37098.0
RO;11;110020;Porto Velho;548.952
RO;11;110025;Presidente Médici;18165.0
RO;11;110026;Rio Crespo;3843.0
RO;11;110028;Rolim de Moura;55748.0
RO;11;110029;Santa Luzia D'Oeste;5942.0
RO;11;110030;Vilhena;104517.0
RO;11;110032;São Miguel do Guaporé;23147.0
RO;11;110033;Nova Mamoré;32184.0
RO;11;110034;Alvorada D'Oeste;13807.0
RO;11;110037;Alto Alegre dos Parecis;13268.0
RO;11;110040;Alto Paraíso;22258.0
RO;11;110045;Buritis;41043.0
RO;11;110050;Novo Horizonte do Oeste;8125.0
RO;11;110060;Cacaulândia;6307.0
RO;11;110070;Campo Novo de Rondônia;14391.0
RO;11;110080;Candeias do Jamari;28068.0
RO;11;110090;Castanheiras;2923.0
RO;11;110092;Chupinguaia;11755.0
RO;11;110094;Cujubim;27131.0
RO;11;110100;Governador Jorge Teixeira;7130.0
RO;11;110110;Itapuã do Oeste;10819.0
RO;11;110120;Ministro Andreazza;9461.0
RO;11;110130;Mirante da Serra;10691.0
RO;11;110140;Monte Negro;16158.0
RO;11;110143;Nova União;6822.0
RO;11;110145;Parecis;6319.0
RO;11;110146;Pimenteiras do Oeste;2127.0
RO;11;110147;Primavera de Rondônia;2697.0
RO;11;110148;São Felipe D'Oeste;4962.0
RO;11;110149;São Francisco do Guaporé;21088.0
RO;11;110150;Seringueiras;11846.0
RO;11;110155;Teixeirópolis;4160.0
RO;11;110160;Theobroma;10348.0
RO;11;110170;Urupá;11081.0
RO;11;110175;Vale do Anari;11545.0
RO;11;110180;Vale do Paraíso;6490.0
AC;12;120001;Acrelândia;15721.0
AC;12;120005;Assis Brasil;7649.0
AC;12;120010;Brasiléia;27123.0
AC;12;120013;Bujari;10572.0
AC;12;120017;Capixaba;12280.0
AC;12;120020;Cruzeiro do Sul;89760.0
AC;12;120025;Epitaciolândia;18979.0
AC;12;120030;Feijó;34986.0
AC;12;120032;Jordão;8628.0
AC;12;120033;Mâncio Lima;19643.0
